IP: 101.132.47.83	minimum: 16ms	maximum: 17ms	average: 16ms
IP: 47.101.62.249	minimum: 17ms	maximum: 18ms	average: 17ms
IP: 152.32.188.17	minimum: 30ms	maximum: 32ms	average: 31ms
IP: 128.14.67.35	minimum: 32ms	maximum: 33ms	average: 32ms
IP: 156.59.153.73	minimum: 32ms	maximum: 32ms	average: 32ms
IP: 45.40.59.130	minimum: 37ms	maximum: 37ms	average: 37ms
IP: 156.59.90.107	minimum: 37ms	maximum: 38ms	average: 37ms
IP: 192.169.127.184	minimum: 39ms	maximum: 42ms	average: 40ms
IP: 103.20.222.181	minimum: 44ms	maximum: 44ms	average: 44ms
IP: 132.145.92.8	minimum: 53ms	maximum: 55ms	average: 53ms
IP: 132.145.81.109	minimum: 53ms	maximum: 54ms	average: 53ms
IP: 146.56.40.77	minimum: 53ms	maximum: 54ms	average: 53ms
IP: 193.123.228.19	minimum: 53ms	maximum: 54ms	average: 53ms
IP: 47.245.1.183	minimum: 54ms	maximum: 55ms	average: 54ms
IP: 130.162.154.209	minimum: 55ms	maximum: 55ms	average: 55ms
IP: 8.222.219.34	minimum: 62ms	maximum: 63ms	average: 62ms
IP: 8.219.104.242	minimum: 63ms	maximum: 63ms	average: 63ms
IP: 8.219.5.10	minimum: 63ms	maximum: 64ms	average: 63ms
IP: 8.222.210.182	minimum: 65ms	maximum: 65ms	average: 65ms
IP: 8.222.236.229	minimum: 66ms	maximum: 66ms	average: 66ms
IP: 8.219.206.180	minimum: 65ms	maximum: 68ms	average: 66ms
IP: 8.222.193.135	minimum: 67ms	maximum: 67ms	average: 67ms
IP: 8.222.193.135	minimum: 67ms	maximum: 68ms	average: 67ms
IP: 8.222.236.229	minimum: 65ms	maximum: 70ms	average: 67ms
IP: 141.147.179.76	minimum: 67ms	maximum: 75ms	average: 73ms
IP: 131.186.35.5	minimum: 72ms	maximum: 78ms	average: 75ms
IP: 47.245.13.56	minimum: 81ms	maximum: 82ms	average: 81ms
IP: 193.122.116.210	minimum: 88ms	maximum: 97ms	average: 90ms
IP: 152.67.198.96	minimum: 98ms	maximum: 99ms	average: 98ms
IP: 152.67.211.177	minimum: 99ms	maximum: 101ms	average: 99ms
IP: 152.67.197.198	minimum: 99ms	maximum: 100ms	average: 99ms
IP: 23.224.22.211	minimum: 160ms	maximum: 161ms	average: 160ms
IP: 65.75.193.21	minimum: 178ms	maximum: 178ms	average: 178ms
IP: 129.146.46.164	minimum: 194ms	maximum: 194ms	average: 194ms
IP: 146.70.175.176	minimum: 211ms	maximum: 212ms	average: 211ms
IP: 146.70.175.98	minimum: 212ms	maximum: 212ms	average: 212ms
IP: 146.70.175.183	minimum: 211ms	maximum: 213ms	average: 212ms
IP: 146.70.175.178	minimum: 212ms	maximum: 215ms	average: 212ms
IP: 146.70.175.112	minimum: 213ms	maximum: 214ms	average: 213ms
IP: 146.70.175.116	minimum: 214ms	maximum: 215ms	average: 214ms
IP: 146.70.175.166	minimum: 214ms	maximum: 215ms	average: 214ms
IP: 146.70.175.120	minimum: 214ms	maximum: 215ms	average: 214ms
IP: 146.70.175.168	minimum: 214ms	maximum: 214ms	average: 214ms
IP: 146.70.175.175	minimum: 215ms	maximum: 215ms	average: 215ms
IP: 146.70.175.105	minimum: 216ms	maximum: 217ms	average: 216ms
IP: 146.70.169.117	minimum: 217ms	maximum: 217ms	average: 217ms
IP: 176.97.72.215	minimum: 219ms	maximum: 224ms	average: 220ms
IP: 146.70.175.190	minimum: 223ms	maximum: 224ms	average: 223ms
IP: 146.70.175.103	minimum: 225ms	maximum: 225ms	average: 225ms
IP: 146.70.175.106	minimum: 226ms	maximum: 227ms	average: 226ms
IP: 146.70.175.123	minimum: 223ms	maximum: 231ms	average: 226ms
IP: 146.70.175.184	minimum: 229ms	maximum: 230ms	average: 229ms
IP: 146.70.175.125	minimum: 230ms	maximum: 230ms	average: 230ms
IP: 146.70.175.162	minimum: 230ms	maximum: 231ms	average: 230ms
IP: 146.70.175.114	minimum: 232ms	maximum: 233ms	average: 232ms
IP: 146.70.169.115	minimum: 233ms	maximum: 234ms	average: 233ms
IP: 146.70.175.182	minimum: 233ms	maximum: 234ms	average: 233ms
IP: 146.70.175.124	minimum: 236ms	maximum: 236ms	average: 236ms
IP: 146.70.175.169	minimum: 236ms	maximum: 237ms	average: 236ms
IP: 146.70.175.109	minimum: 237ms	maximum: 239ms	average: 237ms
IP: 146.70.175.117	minimum: 236ms	maximum: 238ms	average: 237ms
IP: 146.70.175.188	minimum: 236ms	maximum: 240ms	average: 237ms
IP: 146.70.175.110	minimum: 238ms	maximum: 239ms	average: 238ms
IP: 146.70.175.172	minimum: 239ms	maximum: 239ms	average: 239ms
IP: 146.70.175.167	minimum: 239ms	maximum: 240ms	average: 239ms
IP: 146.70.175.173	minimum: 239ms	maximum: 240ms	average: 239ms
IP: 146.70.175.107	minimum: 240ms	maximum: 240ms	average: 240ms
IP: 146.70.175.189	minimum: 242ms	maximum: 243ms	average: 242ms
IP: 146.70.175.126	minimum: 247ms	maximum: 247ms	average: 247ms
IP: 146.70.175.113	minimum: 249ms	maximum: 249ms	average: 249ms
IP: 146.70.175.102	minimum: 250ms	maximum: 251ms	average: 250ms
IP: 146.70.175.119	minimum: 250ms	maximum: 251ms	average: 250ms
IP: 146.70.175.181	minimum: 251ms	maximum: 254ms	average: 251ms
IP: 146.70.175.171	minimum: 252ms	maximum: 253ms	average: 252ms
IP: 38.180.18.14	minimum: 254ms	maximum: 256ms	average: 255ms
IP: 146.70.175.122	minimum: 256ms	maximum: 257ms	average: 256ms
IP: 146.70.175.179	minimum: 256ms	maximum: 256ms	average: 256ms
IP: 146.70.169.118	minimum: 257ms	maximum: 257ms	average: 257ms
IP: 146.70.175.163	minimum: 257ms	maximum: 257ms	average: 257ms
IP: 38.180.30.217	minimum: 259ms	maximum: 259ms	average: 259ms
IP: 146.70.175.101	minimum: 259ms	maximum: 260ms	average: 259ms
IP: 146.70.175.170	minimum: 259ms	maximum: 260ms	average: 259ms
IP: 146.70.175.185	minimum: 259ms	maximum: 260ms	average: 259ms
