IP: 108.61.201.151	minimum: 46ms	maximum: 47ms	average: 46ms
IP: 45.32.100.168	minimum: 71ms	maximum: 75ms	average: 73ms
IP: 141.164.34.61	minimum: 79ms	maximum: 80ms	average: 79ms
IP: 65.20.66.100	minimum: 164ms	maximum: 167ms	average: 164ms
IP: 108.61.209.127	minimum: 182ms	maximum: 183ms	average: 182ms
IP: 108.61.198.102	minimum: 185ms	maximum: 186ms	average: 185ms
IP: 108.61.196.101	minimum: 189ms	maximum: 190ms	average: 189ms
IP: 139.84.162.104	minimum: 191ms	maximum: 192ms	average: 191ms
IP: 70.34.242.24	minimum: 193ms	maximum: 194ms	average: 193ms
IP: 208.76.222.30	minimum: 204ms	maximum: 205ms	average: 204ms
IP: 64.176.178.136	minimum: 216ms	maximum: 217ms	average: 216ms
IP: 64.176.162.16	minimum: 217ms	maximum: 219ms	average: 217ms
IP: 108.61.193.166	minimum: 216ms	maximum: 219ms	average: 217ms
IP: 139.84.130.100	minimum: 221ms	maximum: 221ms	average: 221ms
IP: 107.191.51.12	minimum: 238ms	maximum: 238ms	average: 238ms
IP: 149.248.50.81	minimum: 226ms	maximum: 263ms	average: 246ms
IP: 108.61.219.200	minimum: 285ms	maximum: 299ms	average: 294ms
IP: 108.61.210.117	minimum: 285ms	maximum: 304ms	average: 297ms
IP: 104.156.230.107	minimum: 197ms	maximum: 340ms	average: 300ms
IP: 216.238.66.16	minimum: 304ms	maximum: 328ms	average: 316ms
IP: 70.34.194.86	minimum: 313ms	maximum: 327ms	average: 317ms
IP: 108.61.194.105	minimum: 309ms	maximum: 327ms	average: 320ms
IP: 104.156.244.232	minimum: 220ms	maximum: 361ms	average: 321ms
IP: 64.176.2.7	minimum: 326ms	maximum: 326ms	average: 326ms
IP: 108.61.149.182	minimum: 337ms	maximum: 354ms	average: 347ms
IP: 208.72.154.76	minimum: 337ms	maximum: 357ms	average: 349ms
IP: 108.61.224.175	minimum: 338ms	maximum: 376ms	average: 357ms
IP: 216.238.98.118	minimum: 359ms	maximum: 360ms	average: 359ms
IP: 67.219.110.24	minimum: 276ms	maximum: 417ms	average: 378ms
IP: 108.61.212.117	minimum: 293ms	maximum: 432ms	average: 393ms
IP: 64.176.34.94	minimum: 400ms	maximum: 443ms	average: 421ms
IP: 139.84.226.78	minimum: 521ms	maximum: 532ms	average: 526ms
